OBJECTID,leg_id,start_time,start_node_lat,start_node_lng,end_node_lat,end_node_lng,CentroidID_O,CentroidID_D
19326,95849450,2000-01-02 02:30:00 +0800,37.52763,-121.93815,37.51445,-121.93033,7,17
19327,95849451,2000-01-02 02:43:00 +0800,37.51445,-121.93033,37.52763,-121.93815,17,7
19328,95849452,2000-01-01 17:54:00 +0800,37.52763,-121.93815,37.50237,-121.95432,7,1
19329,95849453,2000-01-02 02:00:00 +0800,37.50237,-121.95432,37.52763,-121.93815,1,7
19330,95849454,2000-01-02 05:44:00 +0800,37.52763,-121.93815,37.55045,-121.95286999999999,7,28
19331,95849455,2000-01-02 06:38:00 +0800,37.55045,-121.95286999999999,37.52763,-121.93815,28,7
19332,95849456,2000-01-01 17:44:00 +0800,37.52763,-121.93815,37.51951,-121.92414,7,13
19333,95849457,2000-01-02 02:52:00 +0800,37.51951,-121.92414,37.52763,-121.93815,13,7
19334,95849458,2000-01-01 20:06:00 +0800,37.529309999999995,-121.92166999999999,37.54501,-121.95168999999999,8,6
19335,95849464,2000-01-02 03:25:00 +0800,37.529309999999995,-121.92166999999999,37.50018,-121.93758999999999,8,21
19336,95849465,2000-01-02 04:10:00 +0800,37.50018,-121.93758999999999,37.529309999999995,-121.92166999999999,21,8
19337,95849467,2000-01-01 20:43:00 +0800,37.529309999999995,-121.92166999999999,37.53857,-121.92026000000001,8,9
19338,95849469,2000-01-01 22:10:00 +0800,37.53857,-121.92026000000001,37.529309999999995,-121.92166999999999,9,8
19339,95849614,2000-01-02 05:02:00 +0800,37.5366,-121.92626000000001,37.50582,-121.93032,9,18
19340,95849616,2000-01-02 06:22:00 +0800,37.50582,-121.93032,37.5366,-121.92626000000001,18,9
19341,95849620,2000-01-01 18:08:00 +0800,37.5366,-121.92626000000001,37.52772,-121.9248,9,"12
"
19342,95849622,2000-01-02 01:36:00 +0800,37.52772,-121.9248,37.5366,-121.92626000000001,"12
",9
19343,95849623,2000-01-01 20:44:00 +0800,37.520179999999996,-121.92593000000001,37.50023,-121.93791,13,21
19344,95849663,2000-01-01 19:52:00 +0800,37.520179999999996,-121.92593000000001,37.54719,-121.93528,13,28
19345,95849664,2000-01-01 20:44:00 +0800,37.54719,-121.93528,37.520179999999996,-121.92593000000001,28,13
19346,95849680,2000-01-01 18:59:00 +0800,37.520179999999996,-121.92593000000001,37.53309,-121.92256,13,8
19347,95849681,2000-01-02 00:10:00 +0800,37.53309,-121.92256,37.520179999999996,-121.92593000000001,8,13
19348,95849683,2000-01-01 21:19:00 +0800,37.53686,-121.92478999999999,37.52036,-121.91861000000002,9,"12
"
19349,95849684,2000-01-01 21:28:00 +0800,37.52036,-121.91861000000002,37.5348,-121.92367,"12
",8
19350,95849686,2000-01-01 22:55:00 +0800,37.5348,-121.92367,37.53686,-121.92478999999999,8,9
19351,95849917,2000-01-02 01:43:00 +0800,37.529309999999995,-121.92166999999999,37.5276,-121.93361999999999,8,7
19352,95849923,2000-01-02 02:08:00 +0800,37.537659999999995,-121.92424,37.52953,-121.93777,9,7
19353,95849924,2000-01-02 03:25:00 +0800,37.52953,-121.93777,37.537659999999995,-121.92424,7,9
19354,95849925,2000-01-02 06:50:00 +0800,37.537659999999995,-121.92424,37.53736,-121.92075,9,9
19355,95849926,2000-01-02 07:12:00 +0800,37.53736,-121.92075,37.537659999999995,-121.92424,9,9
19356,95849931,2000-01-02 05:27:11 +0800,37.537659999999995,-121.92424,37.53419,-121.92776,9,8
19357,95849934,2000-01-02 07:51:00 +0800,37.53419,-121.92776,37.537659999999995,-121.92424,8,9
19358,95849963,2000-01-02 02:54:00 +0800,37.51529,-121.91895,37.52677,-121.92327,20,"12
"
19359,95849987,2000-01-02 01:06:00 +0800,37.509890000000006,-121.9216,37.53736,-121.92075,19,9
19360,95849988,2000-01-02 05:18:00 +0800,37.53736,-121.92075,37.51762,-121.93553999999999,9,15
